"id";"date";"monthly_value";"quarterly_value";"yearly_value";"quarter_id";"month_id";"month";"quarter_year_name";"month_year_name"
"95";"2018-04-05";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"96";"2018-04-06";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"97";"2018-04-07";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"98";"2018-04-08";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"99";"2018-04-09";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"100";"2018-04-10";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"101";"2018-04-11";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"102";"2018-04-12";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"103";"2018-04-13";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"104";"2018-04-14";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"105";"2018-04-15";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"106";"2018-04-16";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"107";"2018-04-17";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"108";"2018-04-18";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"109";"2018-04-19";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"110";"2018-04-20";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"111";"2018-04-21";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"112";"2018-04-22";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"113";"2018-04-23";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"114";"2018-04-24";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"115";"2018-04-25";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"116";"2018-04-26";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"117";"2018-04-27";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"118";"2018-04-28";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"119";"2018-04-29";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"120";"2018-04-30";"4";"2";"2018";"2018002";"2018004";"April";"2 Qu 2018";"Apr 2018"
"121";"2018-05-01";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"122";"2018-05-02";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"123";"2018-05-03";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"124";"2018-05-04";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"125";"2018-05-05";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"126";"2018-05-06";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"127";"2018-05-07";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"128";"2018-05-08";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"129";"2018-05-09";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"130";"2018-05-10";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"131";"2018-05-11";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"132";"2018-05-12";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"133";"2018-05-13";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"134";"2018-05-14";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"135";"2018-05-15";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"136";"2018-05-16";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"137";"2018-05-17";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
"138";"2018-05-18";"5";"2";"2018";"2018002";"2018005";"Mai";"2 Qu 2018";"Mai 2018"
